"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1993:Q2","age40to54",33.4,34.6,33.6,32.9,31.2,43.2,37.7,27.6,42.3,44.1,36.3,40.4
"1993:Q2","ageunder40",11,14.8,20.1,29.7,8.1,11.5,11.8,11.3,39,38.1,48.4,10.4
"1993:Q3","age70plus",20.6,18.2,16.9,12.5,20.7,11.3,15.5,29.4,2.7,2.3,1.9,12.2
"1993:Q3","age55to69",34.7,32.1,28.1,24.4,40,34.1,35.3,31.5,15.8,15.1,13.2,39.1
"1993:Q3","age40to54",33.8,35,34.6,33.6,31.5,43,37.9,27.8,42.7,44.7,36.8,38.8
"1993:Q3","ageunder40",10.9,14.8,20.3,29.5,7.8,11.5,11.3,11.3,38.8,37.9,48.1,9.9
"1993:Q4","age70plus",21,18.4,17.1,12.7,21.1,11.7,15.9,29.6,2.8,2.4,2,12.5
"1993:Q4","age55to69",34.7,32,28.1,24.5,39.7,34.1,35.4,31.3,15.8,15.1,13,40
"1993:Q4","age40to54",33.7,35,34.7,33.5,31.7,42.8,37.9,27.8,42.9,45,37,38
"1993:Q4","ageunder40",10.7,14.5,20.1,29.2,7.5,11.4,10.8,11.3,38.4,37.5,47.9,9.5
"1994:Q1","age70plus",21.2,18.7,18.2,13.1,20.9,12.1,16,28.6,2.6,2.2,1.6,12.2
"1994:Q1","age55to69",35.2,32.5,29.1,25.2,38.8,34.8,35.1,32.3,15.6,14.9,12.6,40.6
"1994:Q1","age40to54",33.2,34.6,33.5,32.6,32.8,41.9,38.3,28.2,43.5,45.5,37.8,37.7
"1994:Q1","ageunder40",10.3,14.2,19.2,29.1,7.5,11.3,10.6,10.8,38.3,37.3,47.9,9.5
"1994:Q2","age70plus",21.3,18.7,18.4,13.3,20.8,12.3,15.8,28.5,2.7,2.4,1.7,11.7
"1994:Q2","age55to69",35.1,32.4,29.1,25.3,37.6,35.1,34.4,32.3,15.6,15,12.4,41
"1994:Q2","age40to54",33.4,34.8,33.5,32.5,34,41.3,39.1,28.5,43.7,45.8,38.1,37.7
"1994:Q2","ageunder40",10.3,14.1,19,28.9,7.6,11.2,10.6,10.8,37.9,36.8,47.8,9.6
"1994:Q3","age70plus",21.2,18.6,17.8,13.3,21,12.6,15.9,28.3,2.8,2.5,1.8,11.1
"1994:Q3","age55to69",34.8,32.1,28.4,24.9,36.9,35.1,34.2,32.4,15.6,15,12.2,41.4
