"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1994:Q3","White",89.4,88.7,87.2,85.1,95.6,84.6,90.9,91.4,84.5,84.7,82.5,92.2
"1994:Q3","Black",4.2,4.5,5.1,6.4,1.1,7.7,2.1,2.5,6.4,5.8,9.1,3.2
"1994:Q3","Hispanic",2,2.3,3.2,3.4,0.5,2.6,1.9,1.6,4.4,4.4,4.8,1.4
"1994:Q3","Other",4.5,4.5,4.5,5.1,2.8,5.1,5,4.4,4.7,5.1,3.6,3.3
"1994:Q4","White",89.8,89,88,85.3,96.1,84.2,91.7,91.6,84.3,84.6,81.4,92.9
"1994:Q4","Black",4,4.4,5,6.3,1,7.7,1.9,2.4,6.6,5.9,9.5,3.1
"1994:Q4","Hispanic",1.9,2.2,3,3.4,0.5,2.7,1.6,1.6,4.3,4.3,4.9,1.3
"1994:Q4","Other",4.3,4.4,3.9,5,2.4,5.4,4.8,4.4,4.8,5.2,4.3,2.7
"1995:Q1","White",89.9,89.2,88,85.4,96,84.5,92.4,91.5,84.5,84.8,82,92.9
"1995:Q1","Black",3.9,4.3,5,6.2,1,7.5,1.6,2.5,6.5,5.9,9.3,3.1
"1995:Q1","Hispanic",1.9,2.2,3,3.4,0.5,2.7,1.4,1.7,4.2,4.2,4.7,1.3
"1995:Q1","Other",4.3,4.3,3.9,5,2.5,5.4,4.5,4.4,4.7,5.1,4,2.7
"1995:Q2","White",90.2,89.4,88.3,86.5,95.8,84.6,93.1,91.2,84.6,85,81.7,93.1
"1995:Q2","Black",3.8,4.2,5,5.7,1,7.4,1.5,2.5,6.6,6,9.2,3.2
"1995:Q2","Hispanic",1.8,2.1,2.9,3.2,0.5,2.7,1.2,1.7,4.2,4.2,4.7,1.3
"1995:Q2","Other",4.2,4.3,3.9,4.6,2.8,5.3,4.1,4.5,4.6,4.9,4.3,2.5
"1995:Q3","White",90.3,89.5,88.1,87.2,95.4,84.8,93.7,91.2,84.4,84.9,81.1,93.6
"1995:Q3","Black",3.8,4.2,5,5.4,1,7.3,1.5,2.6,6.7,6,9.4,3.2
"1995:Q3","Hispanic",1.7,2.1,2.9,3.1,0.4,2.7,1.1,1.7,4.1,4.1,4.8,1.2
"1995:Q3","Other",4.2,4.3,4.1,4.4,3.1,5.2,3.7,4.6,4.7,4.9,4.7,1.9
"1995:Q4","White",90.4,89.6,88,87.2,95.2,85.3,93.5,91.4,84.5,85.2,80.8,92.2
"1995:Q4","Black",3.7,4.1,4.9,5.3,1.1,7.1,1.6,2.6,6.7,6,9.3,3.3
"1995:Q4","Hispanic",1.8,2.1,2.9,3.1,0.5,2.7,1.3,1.7,4.2,4.1,5,1.5
"1995:Q4","Other",4.1,4.2,4.2,4.3,3.2,4.9,3.6,4.3,4.7,4.7,5,3
"1996:Q1","White",90.3,89.5,87.4,86.9,95.1,85.8,93.7,91.4,84.9,85.3,82,92.9
"1996:Q1","Black",3.8,4.1,5,5.4,1.2,7,1.7,2.7,6.5,6.1,8.6,2.6
"1996:Q1","Hispanic",1.9,2.2,3.1,3.2,0.6,2.7,1.3,1.8,4.2,4.1,4.9,1.6
"1996:Q1","Other",4.1,4.1,4.5,4.4,3.1,4.6,3.3,4.1,4.4,4.5,4.5,2.9
"1996:Q2","White",90.7,89.9,88.3,87.2,95.1,86.1,93.7,91.5,84.8,85.3,82,91.9
"1996:Q2","Black",3.7,4.1,4.8,5.2,1.3,6.9,1.7,2.8,6.5,6.1,8.4,2.6
"1996:Q2","Hispanic",1.9,2.2,3,3.3,0.7,2.7,1.4,1.8,4.2,4.1,5,1.9
"1996:Q2","Other",3.7,3.8,4,4.3,3,4.4,3.2,3.9,4.5,4.5,4.6,3.7
"1996:Q3","White",91.1,90.2,88.7,87.3,95.2,86.4,94.5,91.4,84.8,85.3,81.9,91.1
"1996:Q3","Black",3.6,4,4.6,5.2,1.3,6.7,1.8,2.8,6.4,6.1,8.3,2.5
