"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1993:Q1","pct00to20",3.3,3.3,5,4.9,1.4,2.4,2.6,3.1,3.2,2.1,7.2,1.4
"1993:Q2","pct99to100",17.7,16.1,9.2,11.2,31,7.1,31.9,19.8,6.1,6.1,1.5,27.5
"1993:Q2","pct80to99",42.7,43,41.6,36,46.9,47.8,40.9,41.2,44.9,48.7,31.6,45.1
"1993:Q2","pct60to80",17.3,18.3,20.5,22.5,10.6,23.6,12.5,15.8,24.5,24.9,25.8,12.1
"1993:Q2","pct40to60",11.5,11.8,13.6,15.2,6.7,12.3,8.7,12.2,14,12.4,20.9,8
"1993:Q2","pct20to40",7.4,7.4,9.9,10.2,3.5,6.9,3.1,7.9,7.2,5.7,12.7,5.7
"1993:Q2","pct00to20",3.4,3.4,5.1,4.9,1.4,2.4,2.9,3,3.3,2.2,7.5,1.6
"1993:Q3","pct99to100",17.8,16.2,9.1,10.9,31.1,7,31.9,20.1,6.1,6.1,1.4,27.9
"1993:Q3","pct80to99",42.5,42.8,41,36.2,46.8,47.8,40.9,40.9,44.7,48.3,32.1,45.7
"1993:Q3","pct60to80",17.4,18.4,20.8,22.6,10.6,23.5,12.5,15.8,24.7,25.2,25.7,11.8
"1993:Q3","pct40to60",11.4,11.8,13.8,15.3,6.6,12.3,8.4,12.2,14,12.5,20.7,7.3
"1993:Q3","pct20to40",7.4,7.4,10.1,10.1,3.5,6.9,3.2,8,7.2,5.8,12.4,6.1
"1993:Q3","pct00to20",3.5,3.5,5.3,4.9,1.4,2.4,3.2,3,3.3,2.2,7.7,1.3
"1993:Q4","pct99to100",17.9,16.3,9.1,11,31.1,6.9,31.8,20.4,6.1,6,1.4,28.1
"1993:Q4","pct80to99",42.4,42.7,40.9,36,46.9,47.8,40.7,40.4,44.4,48,32.1,45.9
"1993:Q4","pct60to80",17.4,18.4,20.9,22.7,10.6,23.6,12.5,16.1,24.8,25.3,26,11.6
"1993:Q4","pct40to60",11.3,11.7,13.7,15.2,6.5,12.4,8.3,12,14,12.5,20.7,6.8
"1993:Q4","pct20to40",7.4,7.4,10.1,10.1,3.4,6.9,3.1,8.1,7.4,6,12.5,6.5
"1993:Q4","pct00to20",3.5,3.5,5.3,4.9,1.5,2.4,3.6,3,3.3,2.3,7.3,1.1
"1994:Q1","pct99to100",18.1,16.4,9.5,11.5,30.4,6.9,31.8,21.5,6,6,1.4,27.3
"1994:Q1","pct80to99",42.6,42.9,41.5,35.5,47,48.3,40.8,40.3,44.4,47.6,32.9,45.5
"1994:Q1","pct60to80",17.2,18.2,20.6,22.7,10.8,23.3,12.3,15.5,24.9,25.5,25.4,12
"1994:Q1","pct40to60",11.2,11.6,13.5,14.9,6.7,12.3,8,11.8,13.9,12.5,20.5,6.9
"1994:Q1","pct20to40",7.3,7.4,9.9,10.2,3.6,6.9,3.2,7.9,7.4,6.1,12,7
"1994:Q1","pct00to20",3.5,3.5,5.1,5.1,1.5,2.3,3.9,3,3.4,2.3,7.8,1.3
"1994:Q2","pct99to100",18.4,16.7,9.6,11.6,30.6,7,31.8,22.4,6,6,1.4,26.6
"1994:Q2","pct80to99",42.3,42.6,41.4,35.4,46.4,48.3,41.2,39.1,44.1,47.4,33,45.1
"1994:Q2","pct60to80",17.1,18.2,20.8,22.7,11.2,22.8,12,15.5,25,25.6,25.5,12.2
"1994:Q2","pct40to60",11.2,11.6,13.4,14.9,6.6,12.5,7.7,11.7,13.9,12.5,20.4,7
"1994:Q2","pct20to40",7.4,7.5,9.8,10.2,3.8,7,3.4,8,7.5,6.2,12.1,7.6
"1994:Q2","pct00to20",3.6,3.5,5,5.2,1.4,2.4,4,3.2,3.4,2.3,7.6,1.5
"1994:Q3","pct99to100",18.5,16.8,9.5,11.3,30.9,7,31.6,23,5.9,6,1.3,25.7
"1994:Q3","pct80to99",42.1,42.3,40.8,35.6,46,48.2,41.6,38.6,43.9,47.2,33,44.6
"1994:Q3","pct60to80",17.1,18.3,21.1,22.8,11.4,22.7,11.7,15.4,25.1,25.8,25.7,12.7
"1994:Q3","pct40to60",11.1,11.5,13.5,15,6.5,12.7,7.4,11.6,14,12.4,20.4,7.2
"1994:Q3","pct20to40",7.5,7.5,10,10.1,3.9,7.1,3.5,8.1,7.7,6.3,12.2,8.2
"1994:Q3","pct00to20",3.6,3.6,5,5.2,1.4,2.4,4.3,3.3,3.4,2.4,7.3,1.7
"1994:Q4","pct99to100",19,17.1,9.8,11.3,31.1,7,31.5,24.2,5.9,6,1.4,26.2
"1994:Q4","pct80to99",41.8,42,40.5,35.6,45.5,48.4,42,37.5,43.5,47,32.6,44.9
"1994:Q4","pct60to80",17.1,18.3,21.5,22.9,11.8,22.3,11.3,15.3,25.3,25.8,26.2,12.3
"1994:Q4","pct40to60",11.1,11.5,13.5,15,6.4,12.7,7.1,11.5,14,12.4,20.5,6.7
"1994:Q4","pct20to40",7.5,7.6,10,10,4,7,3.6,8.1,7.9,6.4,12.6,8.3
"1994:Q4","pct00to20",3.6,3.6,4.8,5.2,1.3,2.5,4.5,3.4,3.4,2.4,6.7,1.5
"1995:Q1","pct99to100",19.3,17.4,9.8,11.4,31.9,7.1,31.4,24.6,5.8,6,1.3,25
"1995:Q1","pct80to99",41.5,41.8,40.4,35.5,44.9,47.8,42.2,37.4,43.5,46.7,33.2,44.1
"1995:Q1","pct60to80",17,18.2,21.5,23,11.9,22.3,11.1,15,25.3,26,25.9,13
"1995:Q1","pct40to60",11,11.4,13.4,14.9,6.1,13,6.8,11.4,14,12.4,20.3,7.1
"1995:Q1","pct20to40",7.6,7.6,10,10,4,7.2,3.8,8.3,8,6.5,12.3,9
"1995:Q1","pct00to20",3.6,3.6,4.8,5.2,1.2,2.6,4.7,3.3,3.5,2.4,7,1.8
"1995:Q2","pct99to100",19.2,17.3,9.1,11,32.3,7.1,31.5,24.6,5.7,5.9,1.3,24.3
"1995:Q2","pct80to99",41.2,41.5,39.5,35.8,44.8,47.2,42.1,37.3,43.2,46.4,33.3,43.7
"1995:Q2","pct60to80",17.1,18.3,21.7,23.1,11.8,22.5,11,15.2,25.5,26.2,26,13.4
"1995:Q2","pct40to60",11,11.5,13.8,15,6,13.2,6.6,11.2,14.1,12.5,20.2,7.3
"1995:Q2","pct20to40",7.7,7.7,10.4,9.9,3.9,7.3,3.9,8.4,8,6.6,12.2,9.4
"1995:Q2","pct00to20",3.8,3.8,5.5,5,1.2,2.6,5,3.3,3.5,2.4,6.9,1.9
"1995:Q3","pct99to100",19.2,17.3,8.6,10.9,32.5,7,31.8,24.6,5.7,5.9,1.3,24.9
"1995:Q3","pct80to99",41.1,41.3,39,36,44.9,46.8,41.8,37.5,43,46.2,33.3,44.1
"1995:Q3","pct60to80",17.1,18.3,21.7,23.3,11.6,22.8,11,15.1,25.6,26.3,26.2,13
"1995:Q3","pct40to60",11,11.4,14,15,5.8,13.4,6.3,10.9,14,12.4,20.2,6.9
"1995:Q3","pct20to40",7.7,7.8,10.6,9.9,3.8,7.4,3.9,8.4,8.2,6.7,12.4,9.4
"1995:Q3","pct00to20",4,3.9,6,4.9,1.3,2.6,5.2,3.4,3.4,2.5,6.6,1.6
"1995:Q4","pct99to100",19.3,17.3,8.7,10.7,32.8,6.8,31.4,24.4,5.6,5.9,1.3,23.8
"1995:Q4","pct80to99",41.2,41.4,39.1,36.1,45.1,46.6,42,37.6,42.6,46,32.6,43.6
"1995:Q4","pct60to80",17,18.3,21.7,23.2,11.4,23.1,11.1,15.2,26,26.5,26.9,14.1
"1995:Q4","pct40to60",10.9,11.4,14,15.1,5.7,13.5,6.5,10.8,14.3,12.6,20.4,7.6
"1995:Q4","pct20to40",7.7,7.7,10.6,9.9,3.7,7.4,4,8.5,8.2,6.6,12.6,8.9
"1995:Q4","pct00to20",3.9,3.9,5.9,4.9,1.2,2.6,5,3.4,3.3,2.4,6.2,2.1
"1996:Q1","pct99to100",19.1,17.2,8.7,10.7,32.6,6.6,31.3,24.2,5.8,5.9,1.3,26.1
"1996:Q1","pct80to99",41.4,41.6,39.3,36.2,45.6,46.4,41.9,38,42.6,45.8,32.8,45.6
"1996:Q1","pct60to80",17,18.3,21.6,23,11.2,23.5,11.2,15.1,26,26.6,26.8,13.4
"1996:Q1","pct40to60",10.9,11.4,14,15.2,5.7,13.5,6.7,10.7,14.2,12.7,20.3,5.9
"1996:Q1","pct20to40",7.7,7.7,10.5,10,3.7,7.3,4.2,8.5,8,6.6,12.1,7.7
"1996:Q1","pct00to20",3.9,3.8,5.9,5,1.3,2.5,4.8,3.4,3.4,2.4,6.7,1.4
"1996:Q2","pct99to100",19,17.2,8.9,10.3,32.6,6.5,30.6,24.1,5.8,5.9,1.3,25.6
"1996:Q2","pct80to99",41.5,41.6,39.1,36.4,45.7,46.4,42.2,38.1,42.5,45.8,32.4,45.4
"1996:Q2","pct60to80",17.1,18.4,21.9,23,11.1,23.8,11.2,15.1,26.1,26.6,27.2,14
"1996:Q2","pct40to60",10.9,11.4,14,15.4,5.6,13.6,6.9,10.7,14.3,12.8,20.5,6.2
"1996:Q2","pct20to40",7.6,7.7,10.5,10,3.7,7.3,4.4,8.5,7.9,6.5,12.1,7.1
"1996:Q2","pct00to20",3.8,3.7,5.7,5,1.2,2.5,4.7,3.5,3.3,2.3,6.6,1.7
"1996:Q3","pct99to100",18.9,17,9,10.1,32.3,6.3,30.4,23.9,5.7,5.9,1.3,25.2
"1996:Q3","pct80to99",41.5,41.6,39,36.6,46,46.4,42,37.8,42.4,45.8,32,45.4
"1996:Q3","pct60to80",17.2,18.5,22.1,22.9,11.1,24,11.4,15.3,26.2,26.6,27.5,14.7
"1996:Q3","pct40to60",10.9,11.4,14,15.5,5.6,13.7,7.1,10.6,14.4,12.9,20.6,6.2
"1996:Q3","pct20to40",7.7,7.8,10.4,10,3.7,7.2,4.8,8.7,7.9,6.5,12.2,6.6
"1996:Q3","pct00to20",3.7,3.7,5.5,5,1.2,2.4,4.3,3.7,3.3,2.3,6.4,1.9
"1996:Q4","pct99to100",19,17.1,9.3,10.2,32.4,6.2,29.8,24,5.7,5.9,1.3,25.8
"1996:Q4","pct80to99",41.6,41.7,39.5,36.5,46.1,45.9,42.4,37.7,42.2,45.7,31.5,46.1
"1996:Q4","pct60to80",17.2,18.5,21.8,22.7,11,24.2,11.5,15.3,26.4,26.7,27.9,14.8
"1996:Q4","pct40to60",10.9,11.4,13.8,15.4,5.6,13.9,7.3,10.5,14.5,13,20.7,5.6
"1996:Q4","pct20to40",7.7,7.7,10.2,10.1,3.7,7.3,4.8,8.7,7.9,6.5,12.3,5.9
"1996:Q4","pct00to20",3.7,3.6,5.4,5.1,1.2,2.5,4.3,3.8,3.3,2.3,6.2,1.8
"1997:Q1","pct99to100",18.8,17,9.3,10.2,32.2,6.1,29.8,23.8,5.8,5.9,1.3,25.9
"1997:Q1","pct80to99",42,42,39.7,36.5,46.3,45.9,44.2,38,42.3,45.7,31.8,46.3
"1997:Q1","pct60to80",17.1,18.4,21.7,22.6,11,24.4,10.7,15.1,26.3,26.7,27.7,15.1
"1997:Q1","pct40to60",10.9,11.4,13.8,15.4,5.6,14,7.1,10.6,14.5,13,20.7,5.6
"1997:Q1","pct20to40",7.6,7.6,10.1,10.1,3.7,7.2,4,8.8,7.7,6.4,11.9,5.3
"1997:Q1","pct00to20",3.7,3.6,5.3,5.1,1.2,2.4,4.2,3.8,3.3,2.3,6.7,1.9
"1997:Q2","pct99to100",19.3,17.4,9.3,10,33.7,6.1,29.8,23.5,5.9,5.9,1.4,26.4
"1997:Q2","pct80to99",41.7,41.8,39.5,36.9,45.6,45,43.9,38.1,42.3,45.7,31.5,46.8
"1997:Q2","pct60to80",17.2,18.5,21.9,22.6,10.9,25,10.8,15.2,26.4,26.7,27.9,15.1
"1997:Q2","pct40to60",10.8,11.3,13.8,15.4,5.2,14.3,7.2,10.4,14.5,13.1,20.7,5.3
"1997:Q2","pct20to40",7.6,7.6,10.2,10.1,3.5,7.2,4.6,8.9,7.6,6.4,11.8,4.7
"1997:Q2","pct00to20",3.5,3.5,5.3,4.9,1.1,2.4,3.7,3.9,3.3,2.2,6.7,1.7
"1997:Q3","pct99to100",19.4,17.5,9,9.7,34.2,6,29.9,23.3,6,5.9,1.4,28.2
"1997:Q3","pct80to99",41.7,41.8,39.3,37.2,45.5,44.7,44.3,38.2,42.3,45.7,31.3,48
"1997:Q3","pct60to80",17.1,18.4,21.9,22.6,10.8,25.3,10.6,15.3,26.4,26.7,28.1,14.5
"1997:Q3","pct40to60",10.7,11.2,14,15.5,5,14.4,7.1,10.3,14.5,13.1,20.8,4.1
"1997:Q3","pct20to40",7.5,7.5,10.2,10.1,3.5,7.1,4.6,9,7.6,6.4,11.8,3.9
"1997:Q3","pct00to20",3.5,3.5,5.6,4.9,1.1,2.4,3.5,4,3.3,2.2,6.6,1.3
"1997:Q4","pct99to100",19.5,17.6,9.2,10,34.1,5.9,30.1,23.3,6,5.9,1.4,27.8
"1997:Q4","pct80to99",42,42,40,37,45.7,44.7,45.1,37.8,42.2,45.8,30.8,47.9
"1997:Q4","pct60to80",17,18.3,21.5,22.4,10.7,25.6,10.2,15.5,26.4,26.6,28.5,14.9
"1997:Q4","pct40to60",10.6,11.2,13.8,15.4,5,14.5,7,10.2,14.6,13.1,21,4.4
"1997:Q4","pct20to40",7.4,7.4,10,10.2,3.5,7,4.2,9.1,7.6,6.3,12,3.6
"1997:Q4","pct00to20",3.5,3.5,5.5,5,1,2.4,3.4,4.1,3.2,2.2,6.3,1.5
"1998:Q1","pct99to100",20,18.1,9.2,9.9,35.2,5.9,30.4,23.4,6.2,6,1.5,28.2
"1998:Q1","pct80to99",42,42,40,37.3,45.2,44,45.8,38.3,42.4,45.9,30.9,48.2
"1998:Q1","pct60to80",17,18.2,21.5,22.4,10.6,26.1,9.8,15.2,26.3,26.5,28.3,14.9
"1998:Q1","pct40to60",10.4,11,13.8,15.4,4.7,14.6,6.8,9.9,14.5,13.1,21,4.1
"1998:Q1","pct20to40",7.2,7.3,10,10.3,3.3,6.9,3.9,9.1,7.4,6.3,11.7,3.1
"1998:Q1","pct00to20",3.4,3.4,5.6,4.8,1,2.4,3.2,4.1,3.2,2.2,6.7,1.4
"1998:Q2","pct99to100",20.1,18.2,9.5,9.7,35.2,5.8,30.6,23.8,6.2,6,1.5,28.9
