"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"2009:Q3","pct99to100",12532800,13264565,2124172,439763,3512164,1031940,1905556,4250970,731765,616313,39126,76325
"2009:Q3","pct80to99",27558126,33353162,8474380,1596321,4615678,8911426,2870849,6884507,5795036,4803451,832590,158995
"2009:Q3","pct60to80",8303561,11647043,3698147,997267,915064,3544100,592554,1899911,3343481,2599490,664385,79606
"2009:Q3","pct40to60",5541140,7547647,2485970,765620,495954,1917274,350246,1532583,2006507,1481232,487774,37501
"2009:Q3","pct20to40",3323809,4258024,1639575,447469,239276,816174,253968,861561,934216,632041,281140,21035
"2009:Q3","pct00to20",2112060,2771762,1129411,284470,275638,233715,413625,434903,659701,356838,253696,49167
"2009:Q4","pct99to100",12160490,12910546,2133192,444726,3606478,1039524,1875442,3811184,750056,618590,39977,91489
"2009:Q4","pct80to99",27269126,33062151,8406524,1606992,4779136,9048099,2830241,6391160,5793025,4783842,833944,175239
"2009:Q4","pct60to80",8909754,12198480,3614337,998922,925902,3607293,587641,2464385,3288725,2557230,650766,80730
"2009:Q4","pct40to60",5504860,7507295,2461051,767691,502718,1959397,349061,1467376,2002435,1476814,488910,36711
"2009:Q4","pct20to40",3514169,4456087,1624193,452379,242584,827446,259300,1050185,941918,640223,278686,23010
"2009:Q4","pct00to20",2274685,2953303,1111699,289310,288597,239330,418965,605402,678618,364429,262734,51456
"2010:Q1","pct99to100",12671203,13438741,2182729,438462,3851205,1056345,1850875,4059126,767538,617274,40360,109904
"2010:Q1","pct80to99",28170922,33925216,8359137,1611369,5072133,9295310,2816047,6771220,5754294,4730334,821687,202273
"2010:Q1","pct60to80",8769307,11961752,3588511,993609,966189,3697766,599595,2116082,3192445,2489903,614930,87611
"2010:Q1","pct40to60",5617578,7596664,2446725,766248,516030,2010144,358739,1498778,1979085,1458925,477770,42391
"2010:Q1","pct20to40",3412429,4357112,1613887,452181,250941,840184,262102,937818,944684,644799,265394,34490
"2010:Q1","pct00to20",2149534,2866050,1068134,288834,305239,244843,441917,517083,716517,369467,272915,74135
"2010:Q2","pct99to100",12377202,13162675,2220604,426737,3391405,1023716,1937309,4162905,785473,620983,42594,121896
"2010:Q2","pct80to99",28201394,33942373,8318692,1605427,4738397,9440211,2971885,6867760,5740979,4712444,815806,212729
"2010:Q2","pct60to80",8555651,11678887,3547948,983081,867774,3606324,615132,2058627,3123236,2433786,600902,88548
"2010:Q2","pct40to60",5601089,7566673,2433118,770670,494457,1969297,371988,1527142,1965584,1445471,478120,41993
"2010:Q2","pct20to40",3302952,4257429,1604571,449463,235150,821124,236405,910717,954477,653117,265326,36034
"2010:Q2","pct00to20",2144508,2877204,1037019,295430,303184,234849,484500,522221,732696,377274,275705,79717
"2010:Q3","pct99to100",12805252,13599249,2142952,419890,3905903,1060405,1971087,4099013,793997,621569,43816,128611
"2010:Q3","pct80to99",29012001,34730820,8225707,1612825,5277899,9760937,3019876,6833577,5718819,4679730,823722,215367
"2010:Q3","pct60to80",8885535,11954387,3453504,978647,960838,3763863,637757,2159778,3068851,2384213,596378,88260
"2010:Q3","pct40to60",5718212,7680250,2450559,767593,521710,2056349,386656,1497383,1962038,1436337,485913,39788
"2010:Q3","pct20to40",3400673,4362354,1630176,449260,252812,849736,234252,946118,961682,659395,268263,34024
"2010:Q3","pct00to20",2309360,3055131,1109951,292067,327709,246896,516700,561808,745771,383459,285633,76679
"2010:Q4","pct99to100",13019075,13837808,2116939,443230,4329620,1103182,2005483,3839355,818734,612382,46649,159703
"2010:Q4","pct80to99",29056413,34779745,8169271,1616473,5691227,9958537,2742347,6601890,5723332,4625215,854707,243409
"2010:Q4","pct60to80",9432634,12509575,3391697,982275,1042078,3988448,541287,2563791,3076941,2343071,650658,83212
"2010:Q4","pct40to60",5602256,7549053,2386859,752511,546220,2120371,303532,1439559,1946797,1394406,516498,35893
"2010:Q4","pct20to40",3584194,4567031,1601731,452957,263211,874996,298531,1075605,982837,648035,300960,33843
"2010:Q4","pct00to20",2254901,2978188,1097742,287994,328400,257587,343435,663029,723287,369113,277339,76836
"2011:Q1","pct99to100",13689372,14533716,2153125,459615,4706745,1125632,2053488,4035112,844345,613035,45654,185655
"2011:Q1","pct80to99",29776820,35539299,8058263,1629232,6060412,10028721,2821841,6940831,5762479,4641672,856586,264220
"2011:Q1","pct60to80",9396119,12438458,3374727,990311,1113448,4139146,563690,2257136,3042339,2327630,637132,77577
"2011:Q1","pct40to60",5632582,7538556,2300180,746983,567869,2154912,312711,1455901,1905974,1364297,510073,31604
"2011:Q1","pct20to40",3460102,4432119,1554157,456449,271440,892974,276179,980922,972017,644495,295590,31932
"2011:Q1","pct00to20",2107668,2825068,1007447,285649,326679,265239,368826,571228,717400,360604,283335,73461
"2011:Q2","pct99to100",13882698,14729577,2220629,483651,4671050,1129526,2108126,4116595,846879,609923,45993,190963
"2011:Q2","pct80to99",30021431,35784727,8080352,1635351,6074350,10060888,2846952,7086834,5763296,4637446,864552,261298
"2011:Q2","pct60to80",9537265,12573027,3371987,997391,1105818,4220944,579275,2297612,3035763,2315295,647450,73017
"2011:Q2","pct40to60",5588954,7468654,2225306,741506,571985,2155183,313133,1461542,1879699,1337262,513038,29400
"2011:Q2","pct20to40",3421100,4390805,1508024,461816,266712,899328,269626,985299,969705,638548,302569,28587
"2011:Q2","pct00to20",2050233,2749863,926735,289334,315735,267160,369766,581133,699630,350228,279534,69868
"2011:Q3","pct99to100",13252899,14074468,2138382,478103,3766881,1080647,2170146,4440309,821569,607861,45794,167914
"2011:Q3","pct80to99",29428822,35176759,8010499,1646230,5324358,9931791,2832679,7431203,5747938,4639404,880871,227663
"2011:Q3","pct60to80",9219493,12256202,3358576,1001822,931418,4109382,604729,2250274,3036710,2303256,661099,72355
"2011:Q3","pct40to60",5551212,7416015,2221980,752354,536551,2060555,315120,1529455,1864803,1310224,521180,33399
"2011:Q3","pct20to40",3352333,4325112,1532346,459305,234810,871960,279141,947549,972779,633349,311236,28193
"2011:Q3","pct00to20",2066664,2768739,990137,292814,285891,253635,362469,583792,702074,340480,282134,79460
"2011:Q4","pct99to100",13405012,14218257,2083009,499032,4060608,1113896,2254834,4206877,813245,604767,45807,162670
"2011:Q4","pct80to99",29663589,35414909,7985016,1651581,5628145,10007949,2914647,7227570,5751320,4638464,897234,215622
"2011:Q4","pct60to80",9804740,12853704,3301336,1005765,987537,4305974,619350,2633742,3048963,2297314,680362,71287
"2011:Q4","pct40to60",5539849,7392165,2186183,738082,555721,2114384,315383,1482414,1852316,1286962,530005,35349
"2011:Q4","pct20to40",3463597,4442201,1525626,462515,240680,893020,257325,1063036,978604,627710,322245,28649
"2011:Q4","pct00to20",2209327,2907877,1024029,287722,282500,263833,371209,678583,698550,330304,280739,87507
"2012:Q1","pct99to100",14287034,15125844,2102642,529904,4733377,1162015,2319045,4278862,838810,605066,45913,187830
"2012:Q1","pct80to99",30708812,36487501,7984487,1658478,6252549,10170949,2985026,7436011,5778689,4645665,897721,235303
"2012:Q1","pct60to80",9938127,12945431,3259335,1013074,1115292,4546142,621633,2389954,3007304,2269987,671475,65842
"2012:Q1","pct40to60",5594373,7403111,2115789,722866,589612,2191663,309914,1473266,1808738,1251213,526167,31357
"2012:Q1","pct20to40",3391480,4363622,1486112,469294,257431,924252,231327,995206,972142,623549,321569,27023
"2012:Q1","pct00to20",2107750,2796377,981639,285424,285025,277902,374484,591903,688626,321809,282424,84394
"2012:Q2","pct99to100",14409973,15238501,2170586,534972,4526091,1151956,2419605,4435289,828527,602066,46427,180034
"2012:Q2","pct80to99",30855389,36624048,8077349,1664724,6115278,10138662,3004668,7623368,5768659,4640120,910321,218218
"2012:Q2","pct60to80",9886493,12893411,3337252,1015624,1075168,4574613,639116,2251638,3006918,2254984,688447,63488
"2012:Q2","pct40to60",5572088,7361464,2097693,721070,585849,2167491,305673,1483687,1789376,1223223,533738,32416
"2012:Q2","pct20to40",3321903,4297866,1483579,468523,247527,921463,235666,941107,975963,617640,332922,25401
"2012:Q2","pct00to20",2013283,2692459,945436,284180,270428,276155,359060,557200,679176,311700,278826,88650
"2012:Q3","pct99to100",14955065,15793685,2181818,546804,4880826,1178360,2586743,4419133,838621,596769,45227,196624
"2012:Q3","pct80to99",31507979,37301644,8198559,1673181,6464323,10231934,3108170,7625475,5793665,4629794,931810,232061
"2012:Q3","pct60to80",10373049,13396764,3386300,1019692,1141486,4739130,663933,2446223,3023716,2255655,707703,60358
"2012:Q3","pct40to60",5626732,7403587,2106098,712489,605978,2207617,304514,1466891,1776854,1204265,542443,30146
"2012:Q3","pct20to40",3404811,4381649,1502525,469629,254079,940498,226581,988337,976838,610770,341569,24499
"2012:Q3","pct00to20",2092808,2763658,977530,278940,265768,284339,353720,603362,670850,300432,281986,88433
"2012:Q4","pct99to100",15236491,16082045,2206170,559304,4909952,1183949,2712287,4510381,845554,598606,48065,198883
"2012:Q4","pct80to99",31912149,37723041,8310699,1681831,6531530,10283677,3157056,7758248,5810892,4643737,941136,226019
"2012:Q4","pct60to80",10591612,13607982,3429111,1025361,1146113,4817763,683567,2506067,3016370,2226005,733620,56745
"2012:Q4","pct40to60",5659704,7414030,2100706,709999,612196,2209872,300589,1480668,1754326,1167827,556560,29939
"2012:Q4","pct20to40",3409820,4404919,1510275,471707,251009,949473,224274,998181,995099,607699,363450,23951
"2012:Q4","pct00to20",2112665,2767415,989414,279284,255071,287038,341413,615196,654750,293185,270399,91166
"2013:Q1","pct99to100",16258989,17089465,2329447,583818,5665092,1236924,2831901,4442284,830477,585436,42047,202993
"2013:Q1","pct80to99",33176039,38973366,8567313,1688735,7212427,10563777,3216027,7725087,5797327,4605394,963102,228832
"2013:Q1","pct60to80",11065253,14104557,3532883,1031090,1286579,5086096,701630,2466279,3039303,2257244,726144,55916
"2013:Q1","pct40to60",5724806,7467180,2090362,695767,646483,2286219,296642,1451708,1742374,1166229,546753,29392
"2013:Q1","pct20to40",3454619,4420994,1503348,476421,268044,974264,213325,985592,966375,596472,347144,22759
"2013:Q1","pct00to20",2044038,2702645,947385,275123,254875,297614,334187,593461,658607,277296,288949,92362
"2013:Q2","pct99to100",16623366,17454993,2403107,593356,5744091,1260032,3004578,4449829,831627,583180,42346,206101
"2013:Q2","pct80to99",33885393,39697466,8803699,1693943,7325254,10748158,3339388,7787025,5812073,4610083,976006,225984
"2013:Q2","pct60to80",11107597,14160962,3646569,1033134,1300183,5243885,725359,2211832,3053365,2253257,746201,53907
"2013:Q2","pct40to60",5771161,7498620,2114228,687910,655157,2310819,294556,1435952,1727460,1144135,553768,29557
"2013:Q2","pct20to40",3384575,4357450,1527159,476441,266068,982873,189290,915619,972875,591530,359263,22082
"2013:Q2","pct00to20",1980216,2628801,960396,270860,244459,300365,334974,517747,648585,267737,282966,97883
"2013:Q3","pct99to100",17224701,18064022,2471647,598053,6118625,1304744,3198505,4372448,839322,583394,41714,214213
"2013:Q3","pct80to99",34785767,40648123,9022289,1707856,7679977,11058320,3480170,7699510,5862356,4635286,998132,228938
"2013:Q3","pct60to80",11733082,14813300,3783164,1038742,1368570,5468116,750464,2404244,3080218,2260992,768839,50386
"2013:Q3","pct40to60",5863913,7585274,2149798,683750,673763,2370368,292024,1415572,1721361,1128051,565526,27784
"2013:Q3","pct20to40",3460527,4441363,1562309,476307,271880,1006823,161613,962431,980836,588793,371547,20497
"2013:Q3","pct00to20",2051775,2691607,979929,264229,237347,308853,335904,565344,639832,259758,284960,95113
"2013:Q4","pct99to100",17719861,18644283,2562772,611533,6582147,1370553,3300389,4216889,924422,590304,50568,283550
"2013:Q4","pct80to99",35553289,41495969,9173793,1705535,8082127,11441211,3612540,7480762,5942680,4626407,1003916,312357
"2013:Q4","pct60to80",12202770,15294700,3854580,1042672,1414484,5669982,752732,2560249,3091930,2249504,792104,50321
"2013:Q4","pct40to60",5973123,7698055,2198070,679820,672025,2452191,294926,1401022,1724931,1124873,580354,19704
"2013:Q4","pct20to40",3533506,4526602,1574698,478508,278403,1027968,155693,1011331,993096,585264,384424,23408
"2013:Q4","pct00to20",2084639,2717260,958966,261505,243151,313963,349854,589822,632621,260705,279559,92357
"2014:Q1","pct99to100",18432206,19376522,2649146,626517,7017190,1390597,3281925,4411147,944316,597801,58098,288417
"2014:Q1","pct80to99",36529136,42460879,9332353,1692701,8463997,11590958,3646724,7734145,5931743,4613641,1001253,316850
"2014:Q1","pct60to80",12183035,15246921,3894297,1042435,1455940,5693512,736512,2424225,3063887,2224630,787770,51486
"2014:Q1","pct40to60",6069214,7786024,2234744,677791,670209,2464086,292825,1446368,1716810,1114605,583599,18605
"2014:Q1","pct20to40",3513658,4501745,1576392,480143,284365,1034173,155039,971633,988087,581716,382928,23443
"2014:Q1","pct00to20",2029711,2666803,937537,265423,248839,311735,358632,544637,637092,262041,283707,91344
"2014:Q2","pct99to100",19008720,19989965,2697051,638594,7509711,1423809,3312357,4408443,981245,606723,67843,306678
"2014:Q2","pct80to99",37354867,43311375,9498664,1692422,8892804,11758675,3754785,7714025,5956508,4612952,1005742,337813
"2014:Q2","pct60to80",12377505,15451475,3948610,1048279,1508537,5771449,716596,2458003,3073969,2206276,814739,52954
"2014:Q2","pct40to60",6177811,7902983,2307203,680234,670475,2499215,289563,1456293,1725172,1107614,601095,16463
"2014:Q2","pct20to40",3545338,4549429,1607800,482866,291950,1045004,142473,979335,1004091,579491,400230,24370
"2014:Q2","pct00to20",2088277,2718114,968403,266966,255187,312660,371234,543665,629837,264304,274891,90642
"2014:Q3","pct99to100",19257247,20210958,2775346,653307,7353591,1431693,3434528,4562493,953712,616152,75966,261594
"2014:Q3","pct80to99",37837359,43758589,9683756,1688597,8790605,11820307,3856785,7918538,5921230,4619656,1018348,283225
"2014:Q3","pct60to80",12210824,15302057,4002139,1053649,1444427,5759369,725818,2316656,3091232,2195752,839037,56443
"2014:Q3","pct40to60",6229275,7975667,2362857,684889,650515,2491984,292674,1492749,1746392,1104676,620269,21447
"2014:Q3","pct20to40",3516006,4531242,1623262,486327,282922,1041676,158040,939014,1015236,577944,414121,23171
"2014:Q3","pct00to20",2037252,2674322,969292,273077,253927,307276,371575,499176,637070,266896,275820,94355
"2014:Q4","pct99to100",19825628,20787234,2852438,671655,7682036,1459681,3568793,4552631,961606,624814,84698,252094
