"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1995:Q3","SomeCollege",5805996,6975890,1917459,645858,906536,1594177,683318,1228543,1169894,815321,323923,30650
"1995:Q3","HS",5854907,6979526,2084722,662565,633513,1758885,570555,1269287,1124619,779118,309947,35554
"1995:Q3","NoHS",2151355,2432342,792110,215730,119048,546003,255570,503882,280987,171724,101667,7596
"1995:Q4","College",14612039,16702563,3674102,1000130,2975646,3551402,2006621,3494661,2090524,1533101,406167,151257
"1995:Q4","SomeCollege",5903631,7113752,1947061,649417,937560,1628055,700542,1251118,1210121,836013,343550,30558
"1995:Q4","HS",5931078,7064491,2087357,662844,662153,1799399,580400,1272338,1133413,780476,314028,38909
"1995:Q4","NoHS",2105415,2387566,780956,216863,116799,534768,247270,490910,282151,170335,104415,7401
"1996:Q1","College",15118967,17238788,3754427,1023477,3157498,3654548,2035795,3613043,2119821,1555058,402706,162057
"1996:Q1","SomeCollege",5991607,7234370,1979705,656495,947049,1661467,719623,1270031,1242763,863226,345103,34434
"1996:Q1","HS",5954486,7095661,2093010,662039,672669,1824674,579611,1263658,1141175,789697,313942,37536
"1996:Q1","NoHS",2052050,2330785,765408,220412,112216,522012,235116,475621,278735,170325,100456,7954
"1996:Q2","College",15438533,17614919,3815730,1039919,3311532,3742021,2034454,3671264,2176386,1589736,421422,165228
"1996:Q2","SomeCollege",6045387,7324766,2010340,654976,961064,1683230,730969,1284187,1279379,884900,358430,36049
"1996:Q2","HS",6000453,7145024,2087975,666985,690816,1844050,588121,1267077,1144571,788752,315319,40500
"1996:Q2","NoHS",2034280,2311866,778574,216951,108991,515910,228566,462874,277586,168272,101408,7907
"1996:Q3","College",15637860,17871268,3884495,1060918,3340118,3826073,2035291,3724372,2233408,1627662,439212,166534
"1996:Q3","SomeCollege",6089615,7404673,2041039,657016,954870,1699149,756334,1296265,1315057,906818,371557,36682
