"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1995:Q3","Other",1170473,1389152,341231,109275,135664,381725,129285,291972,218679,162067,52267,4344
"1995:Q4","White",25824103,29806965,7468341,2205117,4466574,6411970,3305347,5949617,3982862,2829072,943371,210419
"1995:Q4","Black",1052007,1368223,418356,135096,52267,535068,56299,171136,316216,200093,108646,7477
"1995:Q4","Hispanic",510003,706701,249235,79090,24590,199726,44253,109808,196698,135403,57848,3448
"1995:Q4","Other",1166049,1386483,353545,109951,148727,366860,128935,278465,220434,155357,58296,6782
"1996:Q1","White",26290609,30351599,7508914,2226501,4648601,6571318,3344722,6051543,4060990,2883382,952762,224846
"1996:Q1","Black",1092456,1403925,427348,139385,59368,535370,60959,181495,311469,205216,99955,6298
"1996:Q1","Hispanic",547808,746447,267675,82944,29634,204046,45414,116734,198640,137773,56964,3903
"1996:Q1","Other",1186237,1397633,388612,113593,151829,351967,119050,272581,211395,151935,52527,6934
"1996:Q2","White",26779846,30918582,7672411,2249867,4822023,6700310,3357159,6116811,4138736,2928585,980773,229378
"1996:Q2","Black",1080167,1395829,414629,135170,64847,534104,62147,184933,315662,208215,100893,6554
"1996:Q2","Hispanic",554504,757994,258828,84179,34498,208421,48789,123279,203490,138986,59867,4637
"1996:Q2","Other",1104135,1324170,346750,109615,151035,342376,114015,260379,220035,155876,55046,9114
"1996:Q3","White",27132201,31346324,7798117,2274568,4849834,6842802,3405435,6175567,4214123,2975738,1007854,230531
"1996:Q3","Black",1074589,1393939,408787,134587,68330,529009,64108,189119,319350,211424,101654,6272
"1996:Q3","Hispanic",560479,769014,258537,87322,38884,212164,43307,128801,208535,140528,62789,5218
"1996:Q3","Other",1030346,1260151,328731,108742,137115,334711,90094,260758,229806,161148,57551,11107
"1996:Q4","White",27706854,32000218,7811999,2282432,5067618,7090058,3447281,6300830,4293364,3020289,1041436,231639
"1996:Q4","Black",1092660,1416387,421862,141568,73989,518930,66893,193145,323727,214606,103828,5293
"1996:Q4","Hispanic",603057,816747,280805,89301,43691,214446,54246,134258,213690,141600,66764,5326
"1996:Q4","Other",1061018,1296791,369252,114693,140081,318370,95989,258406,235773,161638,61850,12285
"1997:Q1","White",27823613,32164043,7849094,2300041,5117970,7191425,3490524,6214989,4340431,3058164,1039303,242964
"1997:Q1","Black",1118582,1435519,428010,145871,77300,515286,66386,202667,316937,216545,94746,5646
"1997:Q1","Hispanic",668089,881245,295102,93376,47921,218337,80144,146365,213156,141781,65021,6354
"1997:Q1","Other",1130522,1363874,393814,117813,128103,310308,169991,243844,233351,163983,55105,14263
"1997:Q2","White",29083692,33502361,7983303,2328059,5868069,7495107,3556322,6271501,4418669,3102416,1061173,255080
"1997:Q2","Black",1137607,1456500,423228,137526,88263,532573,66955,207956,318893,219466,93669,5758
"1997:Q2","Hispanic",668477,885612,296220,88447,54461,228165,67733,150587,217136,142909,67186,7041
"1997:Q2","Other",1107800,1346778,383689,113009,174143,306624,138906,230406,238978,167133,56010,15835
"1997:Q3","White",29960068,34474925,8069306,2358897,6312586,7757625,3610339,6366173,4514857,3168496,1085929,260433
"1997:Q3","Black",1153146,1476054,424866,132769,96605,539992,68498,213323,322908,225449,92865,4593
"1997:Q3","Hispanic",696098,919520,305439,88513,59995,235765,72732,157076,223422,147241,69669,6511
"1997:Q3","Other",1140477,1389669,402208,109881,196862,305588,152384,222747,249192,175821,57342,16029
"1997:Q4","White",30322299,34904870,8076188,2363091,6453786,7833020,3683622,6495162,4582571,3197938,1113418,271216
"1997:Q4","Black",1191105,1518156,447351,143614,101396,540174,70502,215120,327051,225507,96541,5004
"1997:Q4","Hispanic",756679,983876,338039,92993,64544,240130,88566,159605,227197,146434,72957,7806
"1997:Q4","Other",1230509,1494576,470716,118329,193073,294341,195339,222777,264067,184358,61250,18459
"1998:Q1","White",31794333,36425331,8209645,2394886,7302847,8157913,3757691,6602350,4630999,3239941,1109422,281636
"1998:Q1","Black",1246900,1568382,454293,138731,114442,567705,71878,221332,321482,227445,88990,5047
"1998:Q1","Hispanic",803855,1030624,352377,89607,71434,252785,98615,165806,226768,147445,70990,8333
"1998:Q1","Other",1323868,1593287,495235,116912,251496,296198,230492,202954,269419,194659,54642,20118
"1998:Q2","White",32440437,37177470,8428145,2417292,7459852,8294480,3814244,6763457,4737033,3303602,1143737,289695
"1998:Q2","Black",1256457,1585455,458171,140055,119081,573282,72393,222473,328998,233265,91183,4550
"1998:Q2","Hispanic",814104,1048754,362027,92389,76096,259471,85769,173001,234649,151326,74652,8671
"1998:Q2","Other",1271669,1550964,492334,118019,247850,294796,204748,193219,279295,199945,58173,21177
"1998:Q3","White",32087958,36911666,8725034,2458685,6677395,8221401,3873039,6956112,4823708,3363959,1171421,288329
"1998:Q3","Black",1187796,1522284,443073,130476,112789,540788,74059,221099,334488,238315,92222,3951
"1998:Q3","Hispanic",816939,1058407,350565,101060,77044,255837,90370,183531,241468,154793,77236,9439
"1998:Q3","Other",1114030,1404895,450585,106549,165284,283554,218219,180704,290865,207774,59839,23252
"1998:Q4","White",33770480,38708456,8868562,2485366,7814040,8615580,3905567,7019342,4937976,3445821,1197410,294745
